,longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_household
9382,-122.45,37.91,27.0,10.0791,500001.0,0,1,0,7.2682926829268295
8815,-118.32,33.75,33.0,9.267000000000001,500001.0,0,0,1,7.741602067183463
1640,-121.84,37.98,8.0,5.2699,204200.0,1,0,0,7.386811023622047
15062,-116.96,32.8,16.0,1.3291,120800.0,0,0,0,3.8318670576735094
12698,-121.43,38.61,33.0,2.1694,95700.0,1,0,0,4.550695825049702
14787,-117.13,32.58,27.0,3.1645,156000.0,0,0,1,4.359375
9078,-118.14,34.69,48.0,2.1167,94900.0,1,0,0,4.536184210526316
835,-122.03,37.61,33.0,5.0969999999999995,188600.0,0,1,0,5.664179104477612
14234,-117.02,32.69,7.0,4.436,135000.0,0,0,1,6.360294117647059
7660,-118.22,33.84,38.0,4.0687,160300.0,0,0,0,4.832080200501253
18749,-122.28,40.5,21.0,2.6488,83100.0,1,0,0,5.837378640776699
14808,-117.18,32.69,37.0,3.2121,320800.0,0,0,1,4.617210682492582
13979,-116.76,34.14,4.0,0.536,42500.0,1,0,0,14.0
19638,-120.97,37.43,27.0,2.1875,137500.0,1,0,0,5.267175572519084
14384,-117.24,32.74,44.0,4.0862,321800.0,0,0,1,5.295373665480427
20344,-119.06,34.23,29.0,3.0219,221700.0,0,0,0,5.890939597315437
13310,-117.61,34.09,11.0,4.6167,144000.0,1,0,0,4.694835680751174
805,-122.06,37.64,33.0,3.8259,146100.0,0,1,0,5.2727272727272725
12881,-121.34,38.68,28.0,4.2743,124000.0,1,0,0,6.077338129496403
9867,-121.84,36.61,26.0,2.5663,128900.0,0,0,0,4.036161335187761
6478,-118.04,34.09,34.0,3.8304,183000.0,1,0,0,5.040302267002519
17897,-121.93,37.35,36.0,3.1065,234100.0,0,0,0,4.710594315245478
14173,-117.05,32.75,36.0,3.8233,139800.0,0,0,1,5.18974358974359
2316,-119.69,36.85,20.0,4.5398,143100.0,1,0,0,7.005277044854881
17741,-121.74,37.3,12.0,6.7159,362700.0,0,0,0,7.289962825278811
9359,-122.52,37.95,33.0,7.8904,468800.0,0,1,0,7.082802547770701
5302,-118.46,34.06,46.0,7.0674,500001.0,0,0,0,5.761061946902655
3801,-118.35,34.15,35.0,4.1544,500001.0,0,0,0,5.58457711442786
2895,-118.98,35.37,35.0,1.1638,57900.0,1,0,0,4.558011049723757
4781,-118.32,34.04,44.0,2.8654,176800.0,0,0,0,4.520179372197309
13848,-117.36,34.48,3.0,3.9792,122100.0,1,0,0,7.2354485776805255
18483,-121.62,37.09,37.0,3.9306,260700.0,0,0,0,5.550522648083624
10540,-117.71,33.47,14.0,6.5206,368500.0,0,0,0,6.1907790143084265
12633,-121.49,38.49,26.0,2.735,74600.0,1,0,0,5.672794117647059
3887,-118.53,34.21,18.0,2.9389,213200.0,0,0,0,4.308965517241379
8799,-118.37,33.77,26.0,10.1447,500001.0,0,0,1,7.203409090909091
6803,-118.13,34.08,40.0,2.575,228400.0,0,0,0,4.329596412556054
4389,-118.26,34.07,36.0,2.0214,170500.0,0,0,0,3.01437908496732
8441,-118.36,33.91,42.0,4.3333,225600.0,0,0,0,4.607565011820331
19155,-122.71,38.37,16.0,5.6018,253000.0,0,0,0,6.767241379310345
8621,-118.38,33.86,15.0,7.6739999999999995,329300.0,0,0,0,5.387878787878788
6752,-118.09,34.11,36.0,4.6442,316800.0,0,0,0,6.153526970954357
15137,-116.91,32.83,16.0,4.105,174400.0,0,0,0,6.035962877030163
9277,-122.58,38.12,13.0,4.9286,309500.0,0,1,0,6.5285714285714285
11528,-118.08,33.77,26.0,2.2708,67500.0,0,0,0,3.947058823529412
2211,-119.85,36.8,14.0,2.9565,73000.0,1,0,0,4.817762399077278
8900,-118.48,34.04,47.0,8.9616,500001.0,0,0,0,7.061371841155235
1919,-120.92,38.86,11.0,3.2027,128600.0,1,0,0,5.276073619631902
13824,-117.17,34.49,13.0,2.0136,94100.0,1,0,0,5.309523809523809
15410,-117.24,33.21,9.0,2.1293,151400.0,0,0,0,4.7352380952380955
8743,-118.32,33.81,28.0,4.8438,346200.0,0,0,0,5.075829383886256
6687,-118.07,34.14,42.0,3.375,260400.0,1,0,0,5.095541401273885
7571,-118.21,33.89,39.0,2.7443,113900.0,0,0,0,4.347222222222222
8989,-118.37,33.99,36.0,5.1695,397000.0,0,0,0,6.207692307692308
7347,-118.16,33.98,33.0,2.9375,162500.0,0,0,0,3.7375
12826,-121.44,38.71,25.0,3.5129,101200.0,1,0,0,5.7254901960784315
4150,-118.21,34.12,52.0,3.4625,173900.0,0,0,0,4.953271028037383
3038,-119.11,35.38,37.0,2.9453,82800.0,1,0,0,5.693593314763231
14088,-117.09,32.76,43.0,3.5529,223000.0,0,0,1,5.865761689291101
7547,-118.2,33.92,45.0,3.2798,141200.0,0,0,0,5.173387096774194
2105,-119.76,36.75,39.0,1.8641,50800.0,1,0,0,4.547861507128309
15882,-122.39,37.74,42.0,2.5694,201000.0,0,1,0,6.097922848664688
7545,-118.22,33.9,30.0,1.7262,115600.0,0,0,0,4.23109243697479
3628,-118.44,34.24,35.0,3.725,178200.0,0,0,0,5.87468671679198
7875,-118.14,33.88,41.0,4.3646,161400.0,0,0,0,4.489736070381231
7996,-118.15,33.86,32.0,2.4659,209000.0,0,0,0,5.356415478615071
4626,-118.32,34.06,52.0,15.0001,500001.0,0,0,0,7.958333333333333
1985,-120.79,38.7,13.0,2.3319,138500.0,1,0,0,5.456121343445287
13351,-117.62,34.02,9.0,5.5632,195100.0,1,0,0,7.241086587436333
14355,-117.22,32.75,26.0,3.8036,162000.0,0,0,1,5.609090909090909
4756,-118.34,34.05,41.0,2.7409,167100.0,0,0,0,4.513978494623656
14919,-117.03,32.61,22.0,6.0086,166900.0,0,0,1,6.7631578947368425
14611,-117.18,32.8,30.0,3.8542,198500.0,0,0,1,6.249363867684479
12842,-121.4,38.66,50.0,2.5062,112500.0,1,0,0,5.945945945945946
6989,-118.04,33.97,29.0,2.6082,162500.0,0,0,0,3.4941176470588236
18545,-122.04,36.97,40.0,4.4659,237500.0,0,0,1,5.848039215686274
6949,-118.08,34.0,32.0,0.9817,166300.0,0,0,0,3.227146814404432
2144,-119.76,36.77,36.0,2.785,72300.0,1,0,0,5.289029535864979
17405,-120.45,34.95,7.0,2.2538,162500.0,0,0,0,3.2222222222222223
18076,-122.03,37.28,29.0,9.8937,500001.0,0,0,0,7.966029723991507
16396,-121.24,38.01,22.0,2.4342,125000.0,1,0,0,5.086666666666667
9536,-120.79,37.43,17.0,2.8519,80700.0,1,0,0,5.047808764940239
17492,-119.77,34.43,22.0,5.1271,342500.0,0,0,1,6.018867924528302
12653,-121.45,38.52,37.0,2.6288,71200.0,1,0,0,5.230061349693251
9539,-120.71,37.39,40.0,2.6058,72700.0,1,0,0,3.8857142857142857
3564,-118.56,34.23,36.0,4.6944,221800.0,0,0,0,5.299559471365638
6988,-118.03,33.97,36.0,2.824,167900.0,0,0,0,4.467775467775468
4132,-118.21,34.13,52.0,3.25,214200.0,0,0,0,4.324561403508772
18074,-122.0,37.28,32.0,5.4103,335900.0,0,0,0,6.114285714285714
10020,-121.16,39.18,14.0,3.1042,152000.0,1,0,0,5.437837837837838
17115,-122.17,37.48,39.0,5.9629,352700.0,0,1,0,5.948529411764706
7710,-118.14,33.95,37.0,5.2015,302000.0,0,0,0,6.194915254237288
662,-122.13,37.7,21.0,2.6321,223100.0,0,1,0,4.132264529058117
17289,-119.63,34.42,42.0,8.5608,500001.0,0,0,0,6.788461538461538
9637,-120.77,37.01,28.0,3.125,156300.0,1,0,0,6.325842696629214
16706,-120.3,35.1,16.0,4.5461,270800.0,0,0,0,7.723287671232876
8470,-118.31,33.91,36.0,4.2596,181100.0,0,0,0,5.368715083798882
7898,-118.06,33.86,16.0,5.0778,293700.0,0,0,0,6.274356103023516
6857,-118.16,34.06,27.0,5.827999999999999,301100.0,0,0,0,6.090909090909091
1321,-121.86,38.04,52.0,1.3958,67500.0,1,0,0,4.481481481481482
778,-122.1,37.65,36.0,4.5303,175000.0,0,1,0,5.0
15600,-116.75,32.85,17.0,4.2321,217400.0,0,0,0,6.3237971391417425
10635,-117.79,33.71,16.0,7.1069,313400.0,0,0,0,7.683636363636364
13602,-117.25,34.15,30.0,3.3,97600.0,1,0,0,5.086206896551724
326,-122.19,37.73,45.0,1.2625,84700.0,0,1,0,5.32404181184669
14251,-117.09,32.73,28.0,3.5789,120300.0,0,0,1,5.278438030560272
946,-121.92,37.72,4.0,5.1437,299400.0,0,0,0,4.96480743691899
1514,-122.06,37.9,25.0,2.6998,216100.0,0,1,0,3.7767052767052767
2559,-124.15,40.81,50.0,1.75,67500.0,0,0,1,4.096385542168675
11821,-121.08,38.93,14.0,2.4278,167700.0,1,0,0,5.338790931989925
6215,-117.91,34.07,33.0,4.5594,204200.0,0,0,0,5.351548269581056
1644,-121.94,37.83,11.0,10.5815,500001.0,1,0,0,8.465671641791046
18067,-122.03,37.29,22.0,10.3653,500001.0,0,0,0,7.3364705882352945
11339,-117.93,33.76,24.0,4.1577,174100.0,0,0,0,4.484593837535014
11311,-117.96,33.78,33.0,4.875,269300.0,0,0,0,6.2809917355371905
5870,-118.35,34.17,44.0,3.5583,232000.0,0,0,0,4.512280701754386
16009,-122.45,37.74,38.0,6.202999999999999,346800.0,0,1,0,6.26431718061674
18806,-121.55,40.48,14.0,2.7857,77400.0,1,0,0,7.334346504559271
10047,-120.99,39.2,15.0,3.3009,156800.0,1,0,0,5.777992277992278
18323,-122.13,37.44,43.0,9.1508,500001.0,0,1,0,7.035128805620609
19600,-120.95,37.57,29.0,3.1125,154800.0,1,0,0,4.851851851851852
5581,-118.31,33.83,27.0,2.9619,223400.0,0,0,0,3.9614855570839063
8038,-118.15,33.84,29.0,7.6526,481300.0,0,0,0,7.01432664756447
8280,-118.15,33.78,12.0,3.5812,198600.0,0,0,1,4.4271457085828345
19252,-122.79,38.48,7.0,3.1662,191000.0,0,0,0,4.866192170818505
19511,-121.02,37.62,30.0,2.5363,83900.0,1,0,0,4.505235602094241
9816,-121.93,36.62,39.0,4.0313,253800.0,0,0,1,5.266666666666667
6984,-118.02,33.96,36.0,4.6226,219700.0,0,0,0,5.126237623762377
19555,-121.01,37.61,5.0,3.4703,129300.0,1,0,0,5.649149922720247
2383,-119.43,36.63,25.0,3.625,107600.0,1,0,0,5.887788778877888
515,-122.24,37.83,52.0,5.8948,457800.0,0,1,0,7.740088105726873
14842,-117.08,32.69,31.0,3.4875,117000.0,0,0,1,5.199186991869919
18877,-122.23,38.09,26.0,2.4875,90000.0,0,1,0,4.556476683937824
19190,-122.68,38.44,29.0,2.9107,169700.0,0,0,0,4.97508896797153
4159,-118.19,34.12,35.0,2.4932,167700.0,0,0,0,3.7172312223858617
2543,-124.16,40.79,52.0,2.2566,92700.0,0,0,1,4.995348837209303
14563,-117.22,32.82,35.0,3.5234,183900.0,0,0,1,5.5588235294117645
9250,-120.1,36.96,20.0,4.8187,90900.0,1,0,0,7.664233576642336
10709,-117.71,33.6,25.0,2.7601,72500.0,0,0,0,4.553738317757009
19854,-119.31,36.39,32.0,1.9342,68600.0,1,0,0,4.89957264957265
4052,-118.43,34.15,42.0,7.672000000000001,467600.0,0,0,0,5.95852534562212
17249,-119.7,34.42,41.0,3.1667,362500.0,0,0,0,3.3878504672897196
8386,-118.36,33.98,46.0,5.0569999999999995,246300.0,0,0,0,5.21978021978022
17652,-121.88,37.26,13.0,3.8936,225900.0,0,0,0,4.12807881773399
20042,-119.0,36.06,41.0,4.0833,81300.0,1,0,0,6.598591549295775
9748,-121.62,36.69,11.0,2.5986,135700.0,0,0,0,4.264253393665158
16794,-122.45,37.66,36.0,4.7755,280700.0,0,0,1,5.956331877729258
18788,-122.45,40.46,16.0,2.8085,105700.0,1,0,0,5.648760330578512
6378,-118.06,34.17,38.0,7.2419,410400.0,1,0,0,7.173684210526316
7921,-118.08,33.86,26.0,3.2679,236500.0,0,0,0,4.182795698924731
9403,-122.53,37.88,25.0,6.8742,413100.0,0,1,0,5.900479616306955
3975,-118.62,34.2,29.0,5.0309,244800.0,0,0,0,6.239690721649485
16136,-122.49,37.79,52.0,6.1407,500001.0,0,1,0,6.914285714285715
8251,-118.18,33.78,26.0,1.7701,146200.0,0,0,1,2.666082383873795
17104,-122.23,37.45,29.0,7.7932,469900.0,0,0,1,6.573170731707317
1002,-121.78,37.69,34.0,3.3618,174600.0,1,0,0,5.114967462039045
18382,-121.83,37.23,7.0,6.6659,500001.0,0,0,0,6.532121212121212
16228,-121.33,37.96,20.0,2.5195,92600.0,1,0,0,5.049707602339181
9230,-120.11,36.96,17.0,3.8952,95300.0,1,0,0,6.2388059701492535
1332,-121.88,38.0,22.0,5.3098,151900.0,1,0,0,5.589147286821706
11765,-121.25,38.72,10.0,4.485,179400.0,1,0,0,6.4341290893015035
9225,-120.06,36.94,19.0,2.2375,64300.0,1,0,0,4.742105263157895
9560,-120.6,37.36,27.0,3.0911,86900.0,1,0,0,5.5285087719298245
15033,-116.99,32.79,26.0,3.7439999999999998,165800.0,0,0,0,5.415545590433482
17941,-121.94,37.33,37.0,4.75,251100.0,0,0,0,5.235632183908046
20348,-119.05,34.19,39.0,2.8942,275000.0,0,0,1,4.333333333333333
8406,-118.36,33.94,33.0,3.4063,152300.0,0,0,0,3.756
4204,-118.26,34.11,47.0,3.6667,210900.0,0,0,0,4.3399602385685885
12058,-117.59,33.88,13.0,2.6111,107000.0,1,0,0,3.984009840098401
12163,-117.16,33.76,11.0,2.625,155400.0,1,0,0,5.873809523809523
16511,-121.25,37.76,22.0,3.4009,182400.0,1,0,0,6.2148337595907925
1838,-122.3,37.9,30.0,2.2672,162500.0,0,1,0,4.054919908466819
14744,-117.06,32.57,16.0,2.6985,156500.0,0,0,1,4.258389261744966
1818,-122.32,37.93,40.0,5.1067,247300.0,0,1,0,6.353430353430354
19923,-119.34,36.32,6.0,3.1574,89200.0,1,0,0,5.63103448275862
11541,-118.02,33.76,27.0,4.25,214800.0,0,0,0,5.17825311942959
5750,-118.28,34.17,52.0,5.5658,331200.0,0,0,0,5.3
15477,-117.18,33.16,15.0,3.1793,159900.0,0,0,0,5.887673956262425
16604,-120.72,35.63,31.0,3.3472,195200.0,0,0,0,6.1305114638447975
1269,-121.69,37.95,15.0,3.8125,125400.0,1,0,0,4.590570719602978
1139,-121.57,39.74,17.0,2.4623,126100.0,1,0,0,5.680701754385965
5518,-118.39,33.97,44.0,6.235,361400.0,0,0,0,5.92972972972973
4803,-118.36,34.03,38.0,2.0879,120700.0,0,0,0,3.896210873146623
20341,-119.03,34.22,24.0,4.7831,214200.0,0,0,0,5.303875968992248
13550,-117.3,34.11,42.0,2.6771,67000.0,1,0,0,4.375
8569,-118.43,33.9,27.0,5.4088,500001.0,0,0,0,4.711656441717792
4194,-118.23,34.12,32.0,4.5089,221100.0,0,0,0,4.37160751565762
1880,-119.98,38.94,25.0,1.9018,109700.0,1,0,0,6.114155251141552
18848,-122.37,41.41,28.0,1.27,53100.0,1,0,0,4.672972972972973
16293,-121.23,37.96,37.0,1.6563,57200.0,1,0,0,4.2823315118397085
6466,-118.04,34.09,34.0,4.6211,248900.0,1,0,0,5.525531914893617
6077,-117.85,34.1,22.0,4.51,189900.0,0,0,0,5.858597285067873
6369,-117.99,34.16,40.0,4.2407,262000.0,1,0,0,5.6943620178041545
15214,-117.11,32.97,9.0,6.0862,263600.0,0,0,0,6.379166666666666
9375,-122.5,37.92,32.0,6.1632,349200.0,0,1,0,6.4681372549019605
14957,-116.97,32.76,33.0,6.1768,228900.0,0,0,0,5.98635477582846
8069,-118.18,33.83,39.0,3.3125,425500.0,0,0,1,5.589506172839506
2900,-119.01,35.37,44.0,1.4779,66000.0,1,0,0,4.900826446280992
5070,-118.31,33.98,44.0,5.1136,111700.0,0,0,0,2.883116883116883
11240,-117.95,33.81,33.0,5.118,195200.0,0,0,0,6.049122807017544
17702,-121.83,37.32,17.0,2.5652,165300.0,0,0,0,3.1608040201005023
11255,-117.98,33.81,28.0,2.582,181800.0,0,0,0,4.617801047120419
2443,-119.63,36.58,22.0,1.2647,55300.0,1,0,0,4.997214484679666
3743,-118.4,34.16,45.0,2.3333,364700.0,0,0,0,5.157894736842105
13094,-121.36,38.56,20.0,1.8288,32500.0,1,0,0,4.277777777777778
4352,-118.37,34.1,37.0,15.0001,500001.0,0,0,0,8.659574468085106
532,-122.27,37.78,52.0,2.6806,207900.0,0,1,0,5.313207547169811
4543,-118.21,34.02,45.0,2.6875,129700.0,0,0,0,4.212765957446808
15283,-117.33,33.17,11.0,4.0791,281300.0,0,0,1,5.8789020452099034
17068,-122.24,37.55,3.0,6.7413,435900.0,0,1,0,6.322051282051282
348,-122.17,37.75,41.0,2.5043,92300.0,0,1,0,5.465217391304348
7958,-118.18,33.88,47.0,4.625,163000.0,0,0,0,5.068965517241379
19798,-123.12,40.54,23.0,1.8696,61500.0,1,0,0,5.4278606965174125
3685,-118.37,34.21,36.0,4.2875,176600.0,0,0,0,4.297520661157025
8390,-118.37,33.97,21.0,2.7464,153100.0,0,0,0,3.8264550264550263
13577,-117.28,34.13,44.0,1.8396,77100.0,1,0,0,4.775628626692456
10852,-117.9,33.66,4.0,6.6369,192600.0,0,0,0,5.428571428571429
11187,-117.95,33.83,36.0,3.8214,210900.0,0,0,0,5.897435897435898
7733,-118.14,33.93,32.0,4.4279,226400.0,0,0,0,4.671945701357466
18812,-121.41,40.82,16.0,2.3393,90300.0,1,0,0,7.370165745856354
5317,-118.43,34.06,20.0,5.1999,500001.0,0,0,0,4.935622317596566
3274,-122.91,39.05,20.0,3.2216,93500.0,1,0,0,5.371428571428571
19571,-120.94,37.59,16.0,2.3152,111300.0,1,0,0,5.174934725848564
10236,-117.92,33.87,33.0,3.055,157800.0,0,0,0,3.775413711583924
16601,-120.69,35.64,38.0,2.0076,114000.0,0,0,0,5.330561330561331
9754,-121.7,36.55,21.0,7.6245,336600.0,0,0,0,6.663822525597269
16008,-122.44,37.73,43.0,5.5622,313600.0,0,1,0,5.93900481540931
20173,-119.17,34.29,18.0,5.2953,279400.0,0,0,1,5.7823529411764705
20313,-119.14,34.15,25.0,4.43,207700.0,0,0,1,5.344660194174757
16804,-122.42,37.66,36.0,4.125,327600.0,0,0,1,5.178571428571429
19093,-122.61,38.25,18.0,5.2452,204900.0,0,0,0,6.923990498812351
10475,-117.68,33.6,24.0,6.8154,265900.0,0,0,0,7.640625
14491,-117.24,32.85,22.0,10.0707,500001.0,0,0,1,7.906818181818182
2860,-118.9,35.41,6.0,3.0938,100800.0,1,0,0,4.979679144385027
13639,-117.32,34.07,52.0,1.9963,76900.0,1,0,0,4.507352941176471
